DATAFILE_AS_OF,SIGNIFICANT,SERIOUS,RPTID,DOR,OPID,NAME,INADR,ACCTY,ACCNT,ACCST,ACZIP,CLASS,IFED,DTHH,IDATE,FAT,INJ,TOTAL_COST,TOTAL_COST_IN84,TOTAL_COST_CURRENT,OPJUD,STHH,STMN,TELRN,TELRT,INPRS,MXPRS,MPEST,TEST,CAUSE,MAP_CAUSE,MAP_SUBCAUSE,PRTLK,PRTLO,PRTFL,PRTFO,MLKD,MLKDO,NMDIA,THK,SPEC,MANU,MANYR,PRTYR,LOCLK,LOCLO,PNAME,PHONE,LOC,ADESC,ADESCO,CAUSR,CAUCO,COAT,PROT,CPYR,CAULK,DMGO,NOTIF,NOTDT,MARK,MRKTP,MRKTO,STAT,CAULC,CAULO,NARRATIVE
6/30/22,YES,YES,19950101,7/20/95,12408,MICHIGAN CONSOLIDATED GAS CO (MICHCON),2104 W. BREEN,KINGSFORD,DICKINSON,MI,49801,3,NO,1320,7/12/95,0,1,50000,36665.27546,81469.11519,YES,0,0,            ,19950713,60,60,BY TEST,90,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,OTHER,NONE,POLYETHYLENE PLASTIC, ,0.625,0.062,ASTM D2513,PHILLIPS DRISCOPIPE M8000 HDPE,0,1994,WITHIN/UNDER BUILDING, ,ROGER J. GREGORY,3135777045,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,NO,, ,INVESTIGATION AND EXTENSIVE LABRATORY TESTING CONFIRMED THE EXISTENCE OFFERMENTATION GAS CONTRIBUTING TO THE INCIDENT. NUMEROUS GROUND/AIR ATMOSPHERICSAMPLES CONFIRMED THE EXISTENCE OF FERMENTATION GAS. THE LABRATORY TESTRESULTS WERE CONVEYED VERBALLY 7/17/1995 AND IN WRITING 7/17/1995 TO THEPUBLIC SAFETY DIRECTOR - KINGSFORD PUBLIC SAFETY DEPARTMENT FOR CONTINUINGINVESTIGATION. SAFETY MEASURES HAVE BEEN INSTITUTED WHILE THE INVESTIGATIONCONTINUES BY PUBLIC OFFICIALS.
6/30/22,NO,NO,19950103,7/27/95,15084,"PALO ALTO, CITY OF",1001 FOREST AVE.,PALO ALTO,SANTA CLARA,CA,94303,3,NO,1515,7/19/95,0,0,0,0,0,YES,0,35,            ,19950720,12,25,BY CFR 192.619(A)(3),0,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,BODY OF PIPE, ,OTHER,ABS-1PS,0.75,0.125, , ,0,1961,UNDER GROUND OR UNDER WATER, ,RODGER JENSEN,4154966932,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,YES,7/10/95,YES,0,PAINT,YES,, ,"ON JULY 19, 1995 AT 3:15 PM, THE CITY OF PALO ALTO GAS CREW SUPERVISOR (MIKEROGERS) RECEIVED A RADIO CALL FROM A PUBLIC WORKS DEPARTMENT INSPECTOR (DONPETERS) THAT A PLASTIC GAS SERVICE, AT 1001 FOREST AVE., HAD BEEN SEVERED ANDHAD IGNITED. THE PALO ALTO FIRE DEPARTMENT AND GAS CREWS WERE DISPATCHED TOTHE SCENE. THE MAINLINE VALVES WERE TURNED OFF AND THE FIRE WAS EXTINGUISHEDAT 3:50PM. GAS SERVICE WAS DISRUPTED TO 16 HOMES. BY 5:30 PM, A NEW PE SERVICEHAS BEEN INSTALLED TO 1001 FOREST AVE. AND SERVICE WAS RESTORED TO THE AREA.SUBSEQUENT INVESTIGATION BY THE GAS CREW SUPERVISOR REVEALED THAT ACONTRACTOR, SANCHEZ CONSTRUCTION, WAS INSTALLING A NEW SIDEWALK FOR THE CITYOF PALO ALTO, UNDER A PUBLIC WORKS DEPARTMENT CONTRACT. THE CONTRACT SPECIFIEDTHAT THE CONTRACTOR HAD TO SAW-CUT THE TREE ROOTS AND INSTALL ROOT BARRIERSWHERE REQUIRED. THE AREA HAD BEEN MARKED AND THE CONTRACTOR HAD MADE AN EFFORTTO ""POTHOLE"" THE GAS SERVICE TO NO AVAIL. HE ASSUMED THE GAS SERVICE WASDEEPER THAN HE WAS REQUIRED TO ROOT SAW, HOWEVER, IN ACTUALITY, THE GASSERVICE TOOK A SLIGHT HORIZONTAL TURN IN THE SIDEWALK AREA. WHEN THE ROOT SAWSEVERED THE PLASTIC GAS SERVICE, THE ESCAPING GAS WAS IGNITED, APPARENTLY BYTHE ROOT SAW. THE SAW OPERATOR IMMEDIATELY LEFT THE SAW AND RECEIVED NOINJURIES. HOWEVER, THE ROOT SAW SUSTAINED DAMAGE. THERE WAS NO OTHER PROPERTYDAMAGE OR PERSONAL INJURIES."
6/30/22,YES,YES,19950109,8/14/95,603,ARKANSAS LOUISIANA GAS CO (ARKLA GAS CO),HWY 79,BETHANY,PANOLA,TX,71007,2,NO,1152,7/16/95,1,0,0,0,0,YES,0,46,            ,19950717,25,60,BY TEST,90,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,METER SET ASSEMBLY, ,OTHER,BROKE AT THREADS,STEEL, ,0.824,0.113,API-5L A25,US STEEL CORP,1986,1986,ABOVE GROUND, ,BUDDY SIMS,3184294160,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,3,ABOVE GROUND RISER,NO,, ,"MR. HORACE SONNY LACY WAS MOWING ADJACENT PROPERTY AND HIGHWAY RIGHT-OF-WAY IN THE PROCESS OF MOWING, MR. LACY STRUCK AN ABOVE-GROUND METER SET ASSEMBLY.AT A TIME APPROXIMATING THE TIME OF THE INCIDENT, MR. LACY SUCCUMBED TO A HEART ATTACK. IT IS OUR UNDERSTANDING THAT MR. LACY HAD A HISTORY OF HEART DISEASE. THE CAUSE OF DEATH WAS LISTED AS A HEART ATTACK, BUT THE CAUSE AND EXACTTIME OF THE HEART ATTACK WAS NOT ASCERTAINED."
6/30/22,YES,YES,19950110,8/14/95,18536,SOUTHWEST GAS CORP,875 LAKESHORE DRIVE,INCLINE VILLAGE,WASHOE,NV,89451,3,NO,1048,8/1/95,0,1,400,293.3222037,651.7529215,Null,0,18,            ,19950801,43,60,BY TEST,90,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,BODY OF PIPE, ,POLYETHYLENE PLASTIC, ,1.25,0.151,ASTM D2513,DRISCO,1995,1995,ABOVE GROUND,AREA OF NEW VAULT,MURRAY JOHNSON,7028311066,,, ,, ,,Null,,OUTSIDE/THIRD PARTY,PROPANE TORCH,NO,,YES,3,PAINT/EXPOSED,YES,, ,"THIS INCIDENT OCCURRED WHEN A PLUMBER ACCIDENTLY BURNED A SOUTHWEST GAS PLASTIC SERVICE LINE WITH HIS TORCH, WHICH RESULTED IN AN UNCONTROLLED ESCAPE OF NATURAL GAS. FURTHER, THE TORCH CAUSED IGNITION OF THE NATURAL GAS, RESULTINGIN MINOR BURNS TO THE ARMS AND FACE OF THE PLUMBER."
6/30/22,NO,NO,19950111,8/15/95,13360,NEW ORLEANS PUBLIC SERVICE INC,5001 PERLITA DR,NEW ORLEANS,ORLEANS,LA,70122,3,NO,205,7/24/95,0,0,0,0,0,YES,1,3,            ,19950724,80,60,BY TEST,90,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,SERVICE LINE, ,BODY OF PIPE,FITTING,POLYETHYLENE PLASTIC, ,1,0.119,ASTM D2513,UPONOR,1995,1995,UNDER GROUND OR UNDER WATER, ,JOSEPH A. LALUMIA,5045953567,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,"AFTER COMPLETING THE WRAPPING OF A SERVICE TEE AND TRANSITION FITTING ON ANEWLY INSTALLED POLYETHYLENE SERVICE, OUR CONTRACT EMPLOYEE HEARD GAS ESCAPING BEHIND HIM WHILE HE WAS CLIMBING OUT OF THE EXCAVATION. BEFORE THE CONTRACT EMPLOYEE COULD COMPLETELY GET OUT OF THE EXCAVATION, THE ESCAPING GAS IGNITIED.THE ESCAPING GAS WAS STOPPED USING OUR EXISTING VALVE SYSTEM AND PINCH OFF EQUIPMENT."
6/30/22,YES,YES,19950116,8/21/95,8070,INDIANA GAS CO INC,2202 SOUTH NEBRASKA STREET,MARION,GRANT,IN,46952,3,NO,1240,7/24/95,0,1,0,0,0,Null,1,0,            ,19950724,50,60,BY CFR 192.619(A)(3),0,CORROSION,CORROSION,EXTERNAL,MAIN, ,BODY OF PIPE, ,STEEL, ,8.62,0.288, , ,0,1911,UNDER PAVEMENT, ,RICHARD L. SLAGLE - MANAGER GAS SYSTEM STANDARDS,3173210518,EXTERNALLY,LOCALIZED PITTING, ,GALVANIC, ,BARE,NO,0,NO DATA, ,Null,,Null,, ,Null,, ,"INDIANA GAS CO. WAS REPAIRING A LEAK (""LEAK #1"") ON AN 8"" BARE STEEL MAIN AT2202 S. NEBRASKA ST. IN MARION, IN.  THE REPAIR WAS BEING MADE BY WELDING A REINFORCING SLEEVE (PUMPKIN) AROUND THE AREA OF LEAKAGE.AS THE WELDER WAS COMPLETING THE FINAL PASS ON THE REINFORCING SLEEVE, A ""POP"" WAS HEARD BY THE WELDER DOWNSTREAM OF THE REPAIR AND A FIRE ENSUED.  THE FIRE IS THOUGHT TO HAVE BEEN IGNITED BY THE WELDING PROCESS.  WHEN THE WELDER FELT THE HEAT FROM THE FLAMES, HE EVACUATED THE BELL HOLE.  AS HE WAS LEAVINGTHE EXCAVATION, HE WAS SPRAYED WITH A FIRE EXTINGUISHER OPERATED BY A LABORER STANDING ABOVE THE ""HOLE"".  FLAMES THEN ENGULFED THE LABORER.  THE WELDER WAS THE ONLY INDIVIDUAL IN THE EXCAVATION AT THE TIME THE FIRE STARTED.THE WELDER EXPERIENCED 2ND DEGREE BURNS TO THE FACE AND ARMS.  HE WAS TREATEDAT THE HOSPITAL AND RELEASED.  THE LABORER HAD 3RD DEGREE BURNS TO THE ARMS AND LEGS.  HE WAS ADMITTED TO A HOSPITAL FOR TREATMENT OF THESE BURNS.THE BANKS OF THE EXCAVATION HAD BEEN CHECKED MINUTES PRIOR TO THE FIRE STARTING.  A READING OF FIVE (5) PERCENT LEL WAS OBTAINED UPSTREAM OF THE EXCAVATION.  IT IS BELIEVED THAT THIS READING WAS RESIDUAL GAS FROM LEAK #1. NO GAS WAS DETECTED IN THE BANK (DOWNSTREAM) AT ANY TIME DURING THE REPAIR OF LEAK #1.AFTER FURTHER INVESTIGATION, IT APPEARS THAT A ""SCAB"" FROM THE BOTTOM OF THE8"" PIPE AT A POINT 18 FEET DOWNSTREAM OF LEAK #1 (LEAK #2) CAME OFF AT SOME TIME DURING THE REPAIR OF LEAK #1.  IGC BELIEVES THAT VIBRATION OF THE PIPE IN PREPARATION FOR THE INSTALLATION OF THE REINFORCING SLEEVE, AS WELL AS THE HEATING AND COOLING OF THE PIPE DURING THE WELDING PROCESS, MAY HAVE CONTRIBUTED TO THE SCAB SEPARATING FROM THE PIPE.  IT IS IGC'S CONCLUSION THAT THE GASMIGRATED TO THE BELL HOLE FROM THE LOCATION OF LEAK #2, AND WAS IGNITED BY THE WELDING PROCESS."
6/30/22,NO,NO,19950117,8/24/95,18712,"SUMMERVILLE GAS SYSTEM, CITY OF",HIGHWAY 114,SUMMERVILLE,CHATTOOGA,GA,30747,1,NO,1420,8/9/95,0,0,61294,44947.22788,99871.35893,YES,14,50,            ,19950809,80,0,,0,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,BODY OF PIPE, ,STEEL, ,6,0.58,SCHEDULE 40, ,0,1976,UNDER GROUND OR UNDER WATER, ,"MAX W. REED, MAPS AND RECORDS",7068570907,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,YES,7/27/95,YES,1,TEMPORARY STAKES,YES,, ,
6/30/22,NO,NO,19950118,8/28/95,15462,PHILADELPHIA ELECTRIC CO,765 CHURCHVILLE ROAD,UPPER SOUTHAMPTON,BUCKS,PA,18966,1,NO,225,7/31/95,0,0,0,0,0,YES,1,43,            ,19950731,65,99,BY TEST,120,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,OTHER,SERVICE RISER,BODY OF PIPE, ,POLYETHYLENE PLASTIC, ,0.5,0.09, ,PLEXCO,1986,1986,UNDER GROUND OR UNDER WATER,SERVICE RISER,JOSEPH E. HOFFMAN - PROJECT ENGINEER,6109411529,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,"THIS REPORT IS FOLLOW UP TO THE CALL TO MR. BLANCHARD & CLAIM #302096 (SEE ATTACHED)CORROSION SECTION NOT APPLICABLE DUE TO PLASTIC PIPING.STRUCTURE FIRE AT LOCATION CAUSED DAMAGE TO GAS FACILITIES AS DESCRIBED IN ATTACHMENT.NO CONSTRUCTION DEFECTS - SERVICE PRESSURE TESTED TO 120 PSIG FOR 20 MINUTES.PRESSURE TEST WITNESSED BY FIRE CHIEF MARK SHOWMAKER OF UPPER SOUTHAMPTON FIRE CO.FIRE IS CURRENTLY UNDER INVESTIGATION DUE TO SUSPICIOUS CIRCUMSTANCES.  DEPTOF ALCOHOL, TOBACCO AND FIREARMS WAS AT SCENE TO INVESTIGATE.  ARSON IS SUSPECTED AND CAUSES ARE UNDER INVESTIGATION.  PETE STANLEY, PA PUC SAFETY COORDINATOR EXAMINED METER SET AND RISER ASSEMBLY AND VERIFIED CONCLUSION THAT THE MELT IN THE RISER WAS DUE TO THE HEAT OF THE STRUCTURE FIRE.  LATER IN THE DAY THE FIRE MARSHALL CONCLUDED THAT THE FIRE WAS SUSPICIOUS IN NATURE AND THATNATURAL GAS WAS NOT THE CAUSE.ON THE MORNING OF 7/31/95, PECO ENERGY GAS DISPATCH RECEIVED A CALL REGARDING A STRUCTURE FIRE AND POSSIBLE EXPLOSION AT 765 CHURCHVILLE RD., UPPER SOUTHAMPTON, PA.  AN ENERGY TECHNICIAN WAS DISPATCHED TO THE LOCATION.  UPON ARRIVING AT THE LOCATION, THE STRUCTURE WAS FULLY INVOLVED AND IT WAS DETERMINED THAT THE GAS WAS ESCAPING FROM THE SERVICE RISER PORTION OF THE METER SET.  THROUGH THE HELP OF THE LOCAL FIRE COMPANY, HE WAS ABLE TO SQUEEZE OFF THE 1/2""PLASTIC SERVICE TO THE RESIDENCE.  ONCE THE FIRE WAS EXTINGUISHED, THE METERSET WAS REMOVED AND THE SERVICE WAS PRESSURE TESTED.  THE PRESSURE TEST OF 120 PSIG HELD FOR A PERIOD OF 20 MINUTES AND WAS WITNESSED BY MARK SHOWMAKER, FIRE CHIEF OF UPPER SOUTHAMPTON FIRE COMPANY.  THE SERVICE WAS THEN TERMINATEDAT THE PROPERTY LINE BY A DISTRIBUTION CREW.  THE METER SET WAS EXAMINED BY PETE STANLEY OF THE PA PUC SAFETY DIVISION WHO VERIFIED THE CONCLUSION THAT THE GAS LEAK WAS DUE TO THE MELT OF THE 1/2"" PLASTIC PIPE INSIDE THE 3/4"" STEELRISER PIPE.  THIS MELT WAS CAUSED BY THE EXTREME HEAT OF THE FIRE WHICH SURROUNDED THE METER SET.FURTHER INVESTIGATION BY THE FIRE DEPARTMENT OFFICIALS REVEALED SUSPICIOUS CIRCUMSTANCES SURROUNDING THE FIRE AND THE FIRE CHIEF CONTACTED THE DEPARTMENTOF ALCOHOL, TOBACCO AND FIREARMS FOR ASSISTANCE.  THE FIRE CHIEF CONCLUDED THAT THE FIRE WAS SUSPICIOUS IN NATURE AND NATURAL GAS WAS NOT THE CAUSE.SERVICE PIPE TO 765 CHURCHVILLE RD. WAS LAST LEAK SURVEYED IN JUNE, 1991 ANDTHE MAIN WAS SURVEYED ON 7/15/93.  THE METER SET WAS SHUT OFF AND BARREL LOCKED ON 4/28/94 AND WAS FOUND IN THE SAME CONDITION.  ELECTRIC WAS ALSO SHUTOFF ON THE SAME DATE AND FOUND IN THE SAME CONDITION."
6/30/22,YES,YES,19950119,9/1/95,15007,PACIFIC GAS & ELECTRIC CO,1806 DALLAS,MODESTO,STANISLAUS,CA,95351,3,NO,1807,8/16/95,0,1,0,0,0,Null,1,3,            ,19950816,60,60,BY CFR 192.619(A)(3),0,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,METER SET ASSEMBLY, ,OTHER,NOT GIVEN,STEEL, ,0,0, ,NORDSTROM,0,1950,ABOVE GROUND, ,JAMES H. POPE,4159736999,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,NO,, ,"A DISGRUNTLED CUSTOMER WHO WAS TURNED OFF FOR NON-PAYMENT ATTEMPTED TO OPEN THE VALVE ON THE RISER TO RE-ESTABLISH SERVICE. THE THIRD PARTY LOOSENED THE NUT ON THE BACK OF THE VALVE CORE, RESULTING IN THE ESCAPE OF GAS. ANOTHER PERSON, DEBBIE RICH, APPROACHED THE AREA AND WAS OVERCOME. SHE WAS TRANSPORTED BY AMBULANCE TO DOCTOR'S HOSPITAL IN MODESTO. THE FLOW OF GAS WAS SUBSEQUENTLY STOPPED, AND THE AREA WAS MADE SAFE."
6/30/22,YES,YES,19950120,9/1/95,22420,WEST OHIO GAS CO,COLLETT STREET,LIMA,ALLEN,OH,45805,3,NO,1120,7/28/95,0,2,0,0,0,Null,0,1,            ,19950728,50,60,BY TEST,150,ACCIDENTALLY CAUSED BY OPERATOR,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,MAIN, ,OTHER,NOT GIVEN,STEEL,POLYETHYLENE PLASTIC,4,0.409,8000,DRISCOPIPE,1995,1995,UNDER GROUND OR UNDER WATER, ,TY V. LOTZ,4192264827,,, ,, ,,Null,,OPERATOR ACTION, ,NO,,NO,0, ,NO,, ,"CONTRACTOR EMPLOYEES, WORKING ON BEHALF OF WEST OHIO GAS (WOG), WERE REPLACING A SECTION OF 6"" STEEL MAINLINE WITH 6"" PLASTIC. INSTALLATION OF THE NEW SECTION OF MAINLINE HAD BEEN COMPLETED. CONTRACTOR AND WOG EMPLOYEES WERE PURGING AIR FROM THE LINE IN ORDER TO PLACE INTO SERVICE. TWO CONTRACTOR EMPLOYEESWERE IN OR NEAR THE TRENCH DURING THE PURGING PROCESS WHILE THREE WOG EMPLOYEES OPERATED A VALVE AND PROVIDED COMMUNICATION. SHORTLY AFTER THE PURGING HAD BEGUN, A FLASH FIRE OCCURRED INJURING BOTH CONTRACTOR EMPLOYEES. BOTH INJURED EMPLOYEES REQUIRED HOSPITALIZATION. WOG EMPLOYEES WERE NOT INJURED. SOURCEOF IGNITION WAS NOT DETERMINED."
6/30/22,YES,YES,19950121,9/8/95,13420,NEW YORK STATE ELECTRIC & GAS CORP,611 GENESEE STREET,MEDINA,ORLEANS,NY,14103,3,NO,1055,8/29/95,0,2,80000,58664.44073,130350.5843,Null,0,6,            ,19950829,0,0,,0,ACCIDENTALLY CAUSED BY OPERATOR,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,OTHER,APPLIANCE CONNECTION,OTHER,NOT GIVEN,OTHER,INSIDE PIPNG,0,0, , ,0,0,WITHIN/UNDER BUILDING, ,ANDREW G. SOLOMON,6077624711,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,"2 CUSTOMERS REMODELING HOME NOTICED GAS ODOR IN DWELLING. TRACED ODOR TO KITCHEN AREA WHERE A PIPE FOR A GAS APPLIANCE WAS NOTICED WITHOUT A PLUG AND THE VALVE PARTIALLY OPENED. GAS/AIR MIXTURE IGNITED RESULTING IN AN EXPLOSION,INJURING BOTH PERSONS. NEAR BY NYSEG GAS FITLER RESPONDED TO LOCATION IN 5 MIN. TO MAKE THE DWELLING & SURROUNDING DWELLINGS SAFE. SERVICE INTERPUTED TO 3 DWELLINGS."
6/30/22,YES,NO,19950123,9/15/95,6141,PUBLIC SERVICE CO OF NEW MEXICO GAS SERVICES,1026 JEWEL PLACE NE,ALBUQUERQUE,BERNALILLO,NM,87123,3,NO,936,9/5/95,0,0,225000,164993.7396,366611.0184,Null,1,4,            ,19950905,59,60,BY TEST,105,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,FITTING, ,STEEL, ,0.75,0.113,A-25, ,0,1978,UNDER PAVEMENT, ,JON W. JONES,5052414571,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,YES,8/30/95,YES,2,PAINT,YES,, ,"ON TUESDAY SEPTEMBER 5, 1995, CONDOR CONSTRUCTION OF ALBUQUERQUE, NEW MEXICOWAS INSTALLING NEW WATER LINES ON JEWEL PLACE WHEN A TRACKHOE OPERATOR DUG INTO THE GAS SERVICE LINE FOR 1027 JEWEL PLACE NE. THE SERVICE LINE WAS BENT AND THE TEE AT THE MAIN TIE-IN WAS BENT AND PULLED OFF, CAUSING THE RELEASE OFGAS AT THE MAIN TIE-IN. AT 0905, PNM GAS SERVICES (PNMGS) WAS NOTIFIED BY THEALBUQUERUE FIRE DEPARTMENT THAT THERE WAS A BLOWING GAS LINE AT 1027 JEWEL PLACE NE. AN EMERGENCY TRUCK AND A LINESPOTTER ARRIVED AT THE SCENE AT 0926. AT 0936, SOMETHING IN THE GARAGE AT 1026 JEWEL PLACE IGNITED AND BLEW THE GARAGE DOOR OUT. THE FIRE FROM THE GARAGE IGNITED THE GAS IN THE STREET OVER THEMAIN. THE FIRE ALSO SPREAD TO THE HOUSE. ESTIMATED DAMAGE TO THE HOUSE AND LANDSCAPING WAS REPORTED TO BE $225,000. ESTIMATED COST TO REPAIR THE DAMAGED GAS MAINS SERVICES AND THE COST OF GAS LOST IS $7800. CONSTRUCTION CREWS WEREDISPATCHED AT 0935 AND THE LINE WAS SQUEEZED OFF AT 1040. FOURTEEN HOUSES WERE EVACUATED BY THE AFD. EIGHT HOUSES WERE WITHOUT SERVICE. MAIN REPAIRS AND SERVICE REPLACEMENTS WERE COMPLETED BY 4:30 AM ON SEPTEMBER 6, 1995. RELIGHTSWERE COMPLETED BY ABOUT NOON THAT DAY. ON AUGUST 22, 1995, PNMGS RECEIVED A REQUEST FOR LINE LOCATIONS FOR JEWEL PLACE NE. ON AUGUST 23, 1995, OUR LINESPOTTER SPOTTED ALL SERVICE LINES AND THE MAIN ON THIS STREET. WHEN HE ARRIVED,CONDOR WAS ALREADY SCRAPING ASPHALT. ON AUGUST 31, 1995, WE RE-SPOTTED ALLSERVICES NO LONGER VISIBLE. THE SPOTS FOR THE MAIN WERE STILL VISIBLE. ATTHIS TIME, THE LINESPOT FOR 1027 JEWEL PLACE NE WAS PLAINLY VISIBLE. AT THETIME OF THE INCIDENT, THE LINESPOT AT 1027 JEWEL PLACE NE WAS COVERED WITHDIRT. DAVE KASPAREK OF RISK MANAGEMENT AND BOB CONKLIN OF KELEHER & MCLEODARE CONDUCTING AN INVESTIGATION INTO THE INCIDENT. ALBINO ZUNIGA OF THE STATECORPORATION COMMISSION INTERVIEWED SEVERAL METRO STAFF MEMBERS AND VISITEDTHE SITE ON WEDNESDAY SEPTEMBER 6."
6/30/22,YES,YES,19950124,9/19/95,12878,MOUNTAINEER GAS CO,"10 STREET, CHARLES AVENUE, ROYAL OAK EST",WHEELING,OHIO,WV,26003,4,NO,915,9/2/95,0,1,0,0,0,Null,0,40,            ,19950905,25,60,BY TEST,90,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,BODY OF PIPE, ,POLYETHYLENE PLASTIC, ,2,0.216,DRISCOPIPE 6500,PHILLIPS DRISCOPIPE,1991,1992,UNDER GROUND OR UNDER WATER, ,CARL B. ACKERMAN,3042340331,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,YES,6/28/95,YES,2, ,NO,, ,"AT APPROXIMATELY 9:15 AM ON SEPTEMBER 2, 1995, A BACKHOE OPERATOR EMPLOYED BY HOSKINS CONSTRUCTION COMPANY A 2"" PLASTIC GAS MAIN BELONGING TO MGC. A MGC CREW CONSISTING OF GARY WOOFTER AND RON TROWBRIDGE AND SUPERVISED BY JORDAN WEBER ARRIVED AT APPROXIMATELY 9:30 A.M. AT THE SCENE OF THE ACCIDENT. IN AN ATTEMPT TO EXCAVATE ENOUGH AREA AROUND THE DAMAGED PIPE SO THE MGC CREW COULD MAKE REPAIRS, THE BACKHOE OPERATOR FOR HOSKINS CONSTRUCTION HIT A BURIED ELECTRIC SERVICE WHICH IGNITED THE ESCAPING GAS. GARY WOOFER WAS APPROXIMATELY 5'AWAY IN THE 3'X6'X30"" EXCAVATION WHEN THE FIRE OCCURRED. GARY RECEIVED FIRSTAND SECOND DEGREE BURNS ON BOTH ARMS, BACK AND NECK REQUIRING IMPATIENT HOSPITALIZATION. RON TROWBRIDGE RECEIVED FIRST DEGREE BURNS ON HIS NECK WHICH REQUIRED OUTPATIENT HOSPITALIZATION. FIRE WAS IMMEDIATELY PUT OUT BY FIRE EXTINGUISHER."
6/30/22,NO,NO,19950125,9/18/95,603,ARKANSAS LOUISIANA GAS CO (ARKLA GAS CO),441 CREEK HOLLOW STREET,SHREVEPORT,CADDO,LA,71115,3,NO,1015,8/19/95,0,0,1350,989.9624374,2199.66611,YES,1,35,            ,19950819,25,60,BY TEST,90,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,BODY OF PIPE, ,POLYETHYLENE PLASTIC, ,0.75,0.103,ASTM D2513,UPONOR ALDYL,1995,1995,UNDER GROUND OR UNDER WATER, ,BUDDY SIMS,3184294160,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,NO,0, ,YES,, ,GENE KENT OF G & L IRRIGATION WAS TRENCHING & STRUCK 3/4 PLASTIC SERVICE LINE.GENE KENT OF G & L IRRIGATION WAS TRENCHING IN FRONT YARD OF 441 CREEK HOLLOW ST. TRENCHER STUCK A 3/4 PLASTIC SERVICE LINE TO THIS ADDRESS. GAS ESCAPEDTO THE ATMOSPHERE AND IGNITED FROM TRENCHER OPERATION. NO INJURIES OCURRED. PROPERTY DAMAGES AMOUNTED TO APPROXIMATELY $250.00 TO TRENCHER ONLY. TOTAL DAMAGES WERE $1350.00. ADDRESS WAS ORIGINALLY CALLED IN AS 9314 CORTANA.
